id,authors,title,categories,abstract,category_list,mean_similarity,std_similarity
805.0731,"T. Barreiro, O. Bertolami and P. Torres",wmap5 constraints on the unified model of dark energy and dark matter,astro-ph,"  we derive constraints on the parameter space of the unified model of dark
energy and dark matter the generalized chaplygin gas gcg from the
amplitudes and positions of the first few peaks and first trough of the cosmic
microwave background radiation cmbr power spectrum using the latest wmap
five year data
",astro-ph,0.013337380201253019,0.02566361779701088
807.2652,Victor Taveras and Nicolas Yunes,"the barberoimmirzi parameter as a scalar field kinflation from loop
  quantum gravity",gr-qc astro-ph hep-th,"  we consider a loopquantum gravity inspired modification of general
relativity where the holst action is generalized by making the barberoimmirzi
bi parameter a scalar field whose value could be dynamically determined the
modified theory leads to a nonzero torsion tensor that corrects the field
equations through quadratic firstderivatives of the bi field such a
correction is equivalent to general relativity in the presence of a scalar
field with nontrivial kinetic energy this stressenergy of this field is
automatically covariantly conserved by its own dynamical equations of motion
thus satisfying the strong equivalence principle every general relativistic
solution remains a solution to the modified theory for any constant value of
the bi field for arbitrary timevarying bi fields a study of cosmological
solutions reduces the scalar field stressenergy to that of a pressureless
perfect fluid in a comoving reference frame forcing the scale factor dynamics
to be equivalent to those of a stiff equation of state upon ultraviolet
completion this model could provide a natural mechanism for kinflation where
the role of the inflaton is played by the bi field and inflation is driven by
its nontrivial kinetic energy instead of a potential
",astro-ph,0.018611588473499405,0.025294197942942992
gr-qc/0607090,"Henri-Hugues Fliche (LMMT), Roland Triay (CPT)",lambda effect in the cosmological expansion of voids,gr-qc astro-ph math-ph math.MP,"  the dynamical effect of the cosmological constant lambda on a single
spherical void evolving in a the universe is investigated within a non linear
perturbation of newtonfriedmann models the void expands with a huge initial
burst which freezes asymptotically with time up to matching hubble flow for
omegacircsim 03 lambdaeffect on the kinematics intervenes
significantly by amplifying the expansion rate at redshift zsim 17 as a
result the size increases with the background density and with lambda what
interprets by the gravitational attraction of borders from outside regions and
the gravitational repulsion of borders the velocity flow within the void
region depends solely on lambda it reads vecvsqrtlambda3vecr
hence the empty regions are swept out for spatially closed friedmann models
what provides us with a stability criterion
",astro-ph,0.009886490688483312,0.019670154087679786
802.1861,Chloe Papineau,finite temperature behaviour of the issuplifted kklt model,hep-th astro-ph hep-ph,"  we study the static phase structure of the isskklt model for moduli
stabilisation and uplifting to a zero cosmological constant since the
supersymmetry breaking sector and the moduli sector are only gravitationally
coupled we expect negligible quantum effects of the modulus upon the iss
sector and the other way around under this assumption we show that the iss
fields end up in the metastable vacua the reason is not only that it is
thermally favoured second order phase transition compared to the phase
transition towards the supersymmetric vacua but rather that the metastable
vacua form before the supersymmetric ones this nice feature is exclusively due
to the presence of the kklt sector we also show that supergravity effects are
negligible around the origin of the field space finally we turn to the
modulus sector and show that there is no destabilisation effect coming from the
iss sector
",astro-ph,0.011380991203822036,0.02157676626542589
808.1962,Qasem Exirifard,phenomenological covariant approach to gravity,gr-qc astro-ph hep-th,"  we covariantly modify the einsteinhilbert action such that the modified
action perturbatively resolves the flat rotational velocity curve of the spiral
galaxies and gives rise to the tullyfisher relation and dynamically generates
the cosmological constant this modification requires introducing just a single
new universal parameter
",astro-ph,0.007867880255504386,0.020237751931315738
802.2403,"Hylke B. J. Koers, Peter Tinyakov","on the relation between the neutrino flux from centaurus a and the
  associated diffuse neutrino flux",astro-ph hep-ph,"  based on recent results obtained by the pierre auger observatory pao it
has been hypothesized that centaurus a cen a is a source of ultrahighenergy
cosmic rays uhecrs and associated neutrinos we point out that the diffuse
neutrino flux may be used to constrain the source model if one assumes that the
ratio between the uhecr and neutrino fluxes outputted by cen a is
representative for other sources under this assumption we investigate the
relation between the neutrino flux from cen a and the diffuse neutrino flux
assuming furthermore that cen a is the source of two uhecr events observed by
pao we estimate the allsky diffuse neutrino flux to be 2005000 times larger
than the neutrino flux from cen a as a result the diffuse neutrino fluxes
associated with some of the recently proposed models of uhecrrelated neutrino
production in cen a are above existing limits regardless of the underlying
source model our results indicate that the detection of neutrinos from cen a
without the accompanying diffuse flux would mean that cen a is an exceptionally
efficient neutrino source
",astro-ph,0.00858323720422534,0.022472878411268635
astro-ph/0010594,"Yoshiaki Sofue (IoA, Univ. Tokyo) and Vera Rubin (Carnegie Institution
  of Wash.)",rotation curves of spiral galaxies,astro-ph,"  rotation curves of spiral galaxies are the major tool for determining the
distribution of mass in spiral galaxies they provide fundamental information
for understanding the dynamics evolution and formation of spiral galaxies we
describe various methods to derive rotation curves and review the results
obtained we discuss the basic characteristics of observed rotation curves in
relation to various galaxy properties such as hubble type structure
activity and environment
",astro-ph,0.013024822080497968,0.023046806005884782
804.1827,"Kazunori Nakayama, Shun Saito, Yudai Suwa, Jun'ichi Yokoyama","probing reheating temperature of the universe with gravitational wave
  background",astro-ph gr-qc hep-ph,"  thermal history of the universe after bigbang nucleosynthesis bbn is well
understood both theoretically and observationally and recent cosmological
observations also begin to reveal the inflationary dynamics however the epoch
between inflation and bbn is scarcely known in this paper we show that the
detection of the stochastic gravitational wave background around 1hz provides
useful information about thermal history well before bbn in particular the
reheating temperature of the universe may be determined by future spacebased
laser interferometer experiments such as decigo andor bbo if it is around
1069 gev depending on the tensortoscalar ratio r and dilution factor
f
",astro-ph,0.009500886033624202,0.019824819276634542
812.4555,"Phill Grajek, Gordon Kane, Dan Phalen, Aaron Pierce, Scott Watson",is the pamela positron excess winos,hep-ph astro-ph hep-ex,"  recently the pamela satellitebased experiment reported an excess of galactic
positrons that could be a signal of annihilating dark matter the pamela data
may admit an interpretation as a signal from a winolike lsp of mass about 200
gev normalized to the local relic density and annihilating mainly into
wbosons this possibility requires the current conventional estimate for the
energy loss rate of positrons be too large by roughly a factor of five data
from antiprotons and gamma rays also provide tension with this interpretation
but there are significant astrophysical uncertainties associated with their
propagation it is not unreasonable to take this wellmotivated candidate
seriously at present in part because it can be tested in several ways soon
the forthcoming pamela data on higher energy positrons and the fgst formerly
glast data should provide important clues as to whether this scenario is
correct if correct the wino interpretation implies a cosmological history in
which the dark matter does not originate in thermal equilibrium
",astro-ph,0.014358178396964115,0.024384550404159606
hep-th/0606031,"A. Avgoustidis, D. Cremades and F. Quevedo",wilson line inflation,hep-th astro-ph hep-ph,"  we present a general setup for inflation in string theory where the inflaton
field corresponds to wilson lines in compact space in the presence of magnetic
fluxes tdualities and limits on the value of the magnetic fluxes relate this
system to the standard dbrane inflation scenarios such as braneantibrane
inflation d3d7 brane inflation and different configurations of branes at
angles this can then be seen as a generalised approach to inflation from open
string modes inflation ends when the wilson lines achieve a critical value and
an open string mode becomes tachyonic then hybridlike inflation including
its cosmic string remnants is realized in string theory beyond the brane
annihilation picture our formalism can be incorporated within fluxinduced
moduli stabilisation mechanisms in type iib strings also contrary to the
standard dbrane separation wilson lines can be considered in heterotic string
models we provide explicit examples to illustrate similarities and differences
of our mechanism to dbrane inflation in particular we present an example in
which the etaproblem present in brane inflation models is absent in our case
we have examples with both blue and red tilted spectral index and remnant
cosmic string tension gmu lesssim 107
",astro-ph,0.013285541784326142,0.02438704121961083
806.1471,"Y. Inoue, M. Minowa, Y. Akimoto, R. Ota, T. Mizumoto, A. Yamamoto",status report of the tokyo axion helioscope experiment,astro-ph,"  we have searched for solar axions with a detector which consists of a 4t x
23m superconducting magnet pinphotodiode xray detectors and an altazimuth
mount to track the sun the conversion region is filled with cold helium gas
which modifies the axion mass at which coherent conversion occurs in the past
measurements axion mass from 0 to 027ev have been scanned since no positive
evidence was seen an upper limit to the axionphoton coupling constant was set
to be g  610e10gev 95cl depending on the axion masses we are now
actively preparing for a new stage of the experiment aiming at one to a few ev
solar axions in this mass region our detector might be able to check
parameter regions which are preferable to the axion models
",astro-ph,0.009388487591603201,0.022831107371129963
706.2351,"Neelima Sehgal (1), John P. Hughes (1), David Wittman (2), Vera
  Margoniner (2), J. Anthony Tyson (2), Perry Gee (2), Ian Dell'Antonio (3)
  ((1) Rutgers, (2) UC Davis, (3) Brown)","probing the relation between xrayderived and weaklensingderived
  masses for shearselected galaxy clusters i a781",astro-ph,"  we compare xray and weaklensing masses for four galaxy clusters that
comprise the topranked shearselected cluster system in the deep lens survey
the weaklensing observations of this system which is associated with a781
are from the kitt peak mayall 4m telescope and the xray observations are
from both chandra and xmmnewton for a faithful comparison of masses we adopt
the same matter density profile for each method which we choose to be an nfw
profile since neither the xray nor weaklensing data are deep enough to well
constrain both the nfw scale radius and central density we estimate the scale
radius using a fitting function for the concentration derived from cosmological
hydrodynamic simulations and an xray estimate of the mass assuming
isothermality we keep this scale radius in common for both xray and
weaklensing profiles and fit for the central density which scales linearly
with mass we find that for three of these clusters there is agreement between
xray and weaklensing nfw central densities and thus masses for the other
cluster the xray central density is higher than that from weaklensing by 2
sigma xray images suggest that this cluster may be undergoing a merger with a
smaller cluster this work serves as an additional step towards understanding
the possible biases in xray and weaklensing cluster mass estimation methods
such understanding is vital to efforts to constrain cosmology using xray or
weaklensing cluster surveys to trace the growth of structure over cosmic time
",astro-ph,0.009801885318933341,0.019844947055817984
astro-ph/0511146,Michael P. Salem,on the generation of density perturbations at the end of inflation,astro-ph hep-ph,"  recently a mechanism was proposed whereby the primordial density
perturbations are generated at the end of inflation we continue the analysis
of the proposed model of this mechanism and calculate the maximum extent to
which the density perturbations produced via this model can dominate over those
of the standard inflationary paradigm in addition we provide a
straightforward variation of this model which allows for greater amplification
of the density perturbations finally we show that a variation in the
implementation of the original model results in significant nongaussianities
in the resulting spectrum of density perturbations the level of
nongaussianities can be made to saturate the current observational bound
",astro-ph,0.015636038427134652,0.023975703486606742
